"codigoestacion","codigosensor","fechaobservacion","valorobservado","nombreestacion","departamento","municipio","zonahidrografica","latitud","longitud","descripcionsensor","unidadmedida"
"0016025501","0068","2016-09-20T04:15:00.000","16.1","CUCUTILLA  - AUT","NORTE DE SANTANDER","CUCUTILLA","CATATUMBO","7.519455556","-72.79790278","Temp Aire 2 m","°C"
"0024015503","0068","2018-05-05T18:40:00.000","15.43093","CONFINES  - AUT","SANTANDER","CONFINES","SOGAMOSO","6.373027778","-73.20760833","Temp Aire 2 m","°C"
"0021202220","0068","2013-12-14T08:00:00.000","16.7","PARAISO - FOPAE","BOGOTA D.C.","BOGOTA, D.C","ALTO MAGDALENA","4.617","-74.05","Temp Aire 2 m","°C"
"0023065503","0068","2017-07-04T09:50:00.000","22.60089","EL MIRADOR  - AUT","CUNDINAMARCA","SASAIMA","MEDIO MAGDALENA","4.95","-74.4","Temp Aire 2 m","°C"
"0015065040","0068","2018-01-26T12:00:00.000","31.4","LA PAULINA - AUT","LA GUAJIRA","FONSECA","CARIBE - GUAJIRA","10.89813889","-72.82847222","Temp Aire 2 m","°C"
"0026185050","0068","2014-01-09T07:00:00.000","18.6","SANTA BARBARA - AUT","ANTIOQUIA","SANTA BÁRBARA","CAUCA","5.859583333","-75.55627778","Temp Aire 2 m","°C"
"0026175501","0068","2018-03-30T09:55:00.000","23.03483","RAFAEL ESCOBAR  - AUT","CALDAS","SUPIA","CAUCA","5.45","-75.63305556","Temp Aire 2 m","°C"
"0021115501","0068","2019-05-18T09:25:00.000","23.04952","TELLO  - AUT","HUILA","TELLO","ALTO MAGDALENA","2.960666667","-75.02849722","Temp Aire 2 m","°C"
"0013055040","0068","2010-11-28T17:59:05.000","0","INCODER - AUT","CORDOBA","MONTERÍA","SINÚ","8.746944444","-75.91388889","Temp Aire 2 m","°C"
"0052025090","0068","2014-07-12T23:00:00.000","18.3","LA SIERRA - AUT","CAUCA","LA SIERRA","PATÍA","2.193833333","-76.75033333","Temp Aire 2 m","°C"
"0044035050","0068","2017-09-04T17:00:00.000","31.3","MACAGUAL - AUT","CAQUETA","FLORENCIA","CAQUETÁ","1.499722222","-75.661","Temp Aire 2 m","°C"
"0021115170","0068","2015-10-24T04:00:00.000","12.8","LA PLATA - AUT","HUILA","NEIVA","ALTO MAGDALENA","2.759138889","-75.07455556","Temp Aire 2 m","°C"
"0026125503","0068","2017-07-18T12:05:00.000","25.2618","LA SIRENA  - AUT","VALLE DEL CAUCA","SEVILLA","CAUCA","4.285","-75.9025","Temp Aire 2 m","°C"
"0015035020","0068","2019-05-31T13:00:00.000","30.2","TERMOGUAJIRA  - AUT","LA GUAJIRA","DIBULLA","CARIBE - GUAJIRA","11.2525","-73.41138889","Temp Aire 2 m","°C"
"0021015070","0068","2018-11-15T09:00:00.000","19.7","LOS GUACHAROS  - AUT","HUILA","PALESTINA","ALTO MAGDALENA","1.675833","-76.106841","Temp Aire 2 m","°C"
"0026115501","0068","2016-09-24T20:50:00.000","18.7","MANUEL MARIA MALLARINO  - AUT","VALLE DEL CAUCA","TRUJILLO","CAUCA","4.213611111","-76.31497222","Temp Aire 2 m","°C"
"0011105020","0068","2018-05-10T22:17:00.000","7","CARMEN DARIEN","CHOCÓ","CARMEN DEL DARIÉN  (CURBARADÓ)","ATRATO - DARIÉN","7.154","-76.977","Temp Aire 2 m","°C"
"0026155220","0068","2013-03-03T12:00:00.000","21.3","VILLAMARIA - AUT","CALDAS","VILLAMARIA","CAUCA","5.048666667","-75.51388889","Temp Aire 2 m","°C"
"0021055501","0068","2017-12-30T20:05:00.000","16.80802","SIMON CAMPOS  - AUT","HUILA","LA PLATA","ALTO MAGDALENA","2.345830556","-75.87805556","Temp Aire 2 m","°C"
"0026125502","0068","2017-06-10T13:30:00.000","27.39357","CAICEDONIA  - AUT","VALLE DEL CAUCA","CAICEDONIA","CAUCA","4.297558333","-75.86396111","Temp Aire 2 m","°C"
"0023015501","0068","2018-05-06T05:20:00.000","18.69586","FRESNO  - AUT","TOLIMA","FRESNO","MEDIO MAGDALENA","5.155638889","-75.00313611","Temp Aire 2 m","°C"
"0021202250","0068","2011-12-02T02:05:00.000","12.1","DOÑA JUANA - FOPAE","BOGOTA D.C.","BOGOTA, D.C","ALTO MAGDALENA","4.5","-74.133","Temp Aire 2 m","°C"
